Cod_Viagem;Data_Saida;Data_Retorno;Valor;Pais_Destino
1;2010-10-12;2010-12-12;5350.00;VGB
2;2010-09-14;2010-12-22;8900.00;VNM
3;2010-12-05;2011-12-05;18525.35;UKR
4;2010-08-11;2011-05-21;12350.25;TUR
5;2010-06-25;2010-08-25;7520.00;TKL
6;2010-03-16;2011-03-16;14255.35;USA
7;2010-12-01;2010-12-30;3250.00;TLS
8;2010-10-12;2010-12-30;9500.00;THA
9;2010-06-21;2010-09-05;9250.00;RUS
10;2010-09-10;2010-10-02;6525.00;SEN
11;2010-07-27;2011-11-15;12355.00;QAT
12;2010-09-04;2011-10-02;14200.00;CHE
13;2010-08-02;2012-05-02;16100.00;SYR
14;2010-06-04;2011-10-22;15300.00;NZL
15;2010-11-04;2010-12-30;6250.50;MRT
16;2010-11-05;2012-11-05;22850.25;USA
17;2010-12-02;2012-12-30;18600.10;MEX
18;2010-11-10;2012-03-02;19000.50;DNK
19;2010-11-11;2010-12-20;8200.00;GTM
20;2010-08-19;2010-10-20;7500.00;COG
21;2010-07-19;2010-11-19;8900.50;FRA
22;2011-01-05;2012-01-05;15650.25;MEX
23;2011-01-08;2012-01-08;11850.95;USA
24;2011-01-10;2012-01-10;15850.95;USA
25;2010-08-02;2011-08-02;16550.20;USA
26;2010-09-05;2011-03-20;14750.25;USA
27;2011-03-15;2012-04-20;13560.65;THA
28;2010-08-15;2012-10-20;19500.80;USA
29;2011-01-01;2011-12-01;12520.25;USA
30;2011-02-20;2012-02-20;11950.65;IND
